cst,关键词翻译,AC推荐词,流量占比,流量词类型,预估周曝光量,相关产品,相关ASIN,ABA周排名,月搜索量,月购买量,购买率,展示量,点击量,SPR,标题密度,商品数,需供比,广告竞品数,点击集中度,前三ASIN转化总占比,PPC竞价,建议竞价范围,#1 前三ASIN,#1 点击共享,#1 转化共享,#2 前三ASIN,#2 点击共享,#2 转化共享,#3 前三ASIN,#3 点击共享,#3 转化共享,前十ASIN,matched_text
black men shorts,黑色男士短裤,,,SP广告词,0,1,B0BFDTMBGP,"1,044,217","1,530",53,3.48%,"39,942",725,2,0,"5,583",0.3,25,12.50%,0.00%,$1.66 ,$1.46 - $2.08,B0151E6OUY,5.90%,0.00%,B07QV7SBW7,3.40%,0.00%,B0BQR24NV5,3.10%,0.00%,"B01JQTAD66,B009CTUIF2,B0151E6OUY,B09XQWCCGR,B0728KK8VK,B0BQQYDHLG,B08JG671Z8,B0D1G5SV9M,B087M3MJ1L,B0BXWDK38F","Black, Shorts"
black jeans shorts for men,男士黑色牛仔裤短裤,,,SP广告词,0,1,B09P3T8X61,"1,850,065",140,5,3.62%,"3,603",67,1,0,"1,667",0.1,0,26.90%,0.00%,$0.68 ,$0.50 - $0.85,B08NLTKTLG,11.50%,0.00%,B08DJXX7FD,7.70%,0.00%,B0C7358LP9,7.70%,0.00%,"B08NLTKTLG,B016A9E76W,B01JL7REJ2,B072Q7S2ZS,B08JDWKQC3,B07D1LD4YZ,B07MZVXYQQ,B08JDWYN1X,B0CST2DV9S,B0BTP1C7B1","Jeans, Black, Shorts"
black cotton shorts men,黑色棉质短裤男,,,自然搜索词,0,1,B01AK7Y102,"1,223,055",900,24,2.76%,"21,829",407,1,0,"2,392",0.4,4,16.90%,33.30%,$1.40 ,$1.23 - $1.79,B07F2NNFWS,6.80%,0.00%,B0151E6OUY,5.10%,33.30%,B000MND796,5.10%,0.00%,"B0151E6OUY,B09T3QPWDJ,B07F2NNFWS,B000MND796,B092ZVSQ5W,B07RHP772N,B0BTV3KXML,B0D5CVLKH8,B0BVMWWMBW,B00AKSCXBQ","Cotton, Black, Shorts"
black adidas shorts,黑色阿迪达斯短裤,,,自然搜索词,0,2,B0BFDRQLNC/B0BFDTMBGP,"1,379,719",731,20,2.80%,"16,492",307,1,0,"4,631",0.2,4,25.00%,14.30%,$1.11 ,$0.82 - $1.38,B015SSVBGA,9.60%,14.30%,B010DKQO2E,7.70%,0.00%,B09XLLXN5F,7.70%,0.00%,"B010DKQO2E,B0878Y9CGH,B087C7VWV4,B09Y2SZ95Z,B096YJD183,B015SSVBGA,B07F2NPS3F,B091JF8JBW,B091MPZ2TS,B08793LZ9B","Adidas, Black, Shorts"
big tall shorts for men,,,,自然搜索词,0,1,B09T3QHVVM,,,,,,,,,"42,962",,3,,,,-,,,,,,,,,,,"big, Tall, Shorts"
big tall shorts,,,,自然搜索词,0,1,B08JGBB9N1,,,,,,,,,"61,931",,4,,,,-,,,,,,,,,,,"big, Tall, Shorts"
big size for men,,,,SP广告词,0,1,B0BLKN87V4,,,,,,,,,0,,9,,,,-,,,,,,,,,,,big
big mens shorts 4xl,,,,自然搜索词,0,1,B09T3QHVVM,,,,,,,,,"2,005",,4,,,,-,,,,,,,,,,,"big, Shorts"
big mens cargo shorts,大号男士工装短裤,,,SP广告词,0,1,B09WMZR2XM,"1,116,337","1,840",59,3.24%,"51,589",787,2,0,"3,049",0.6,4,13.00%,0.00%,$1.44 ,$0.89 - $2.14,B09QT6H6NQ,4.90%,0.00%,B09LSKRRFG,4.70%,0.00%,B07YP9JK3F,3.40%,0.00%,"B017GAFO3E,B07YP9JK3F,B09LSKRRFG,B00XKYLJDU,B008I5816E,B00PI5FJHG,B01MXES2OS,B01JQTRMEC,B0D3HQVQ47,B0CQ4GW67K","big, Shorts, Cargo, Cargo Shorts"
big men's shorts,,,,自然搜索词,0,2,B00AKSCXEI/B09T3QHVVM,,,,,,,,,"42,982",,25,,,,-,,,,,,,,,,,"big, Shorts"
big men shorts,大男人短裤,,,自然搜索词,0,1,B09T3QHVVM,"1,136,094","1,576",45,2.88%,"34,358",744,2,0,"44,377",0,4,14.20%,2.10%,$0.95 ,$0.79 - $1.15,B09461YZGK,5.30%,2.10%,B072JBQRLG,5.30%,0.00%,B07YP9JK3F,3.60%,0.00%,"B09461YZGK,B017YONTU2,B0D1CVYY1G,B07YP9JK3F,B017GAFO3E,B08JG3T2SY,B075MRNRJC,B07SCK5SSX,B00XKYLJDU,B09T3QHVVM","big, Shorts"
big man shorts,大人短裤,,,自然搜索词,0,2,B00AKSCXEI/B09T3QHVVM,"1,296,492","1,363",44,3.29%,"30,162",613,1,0,"42,939",0,3,16.80%,1.80%,$0.95 ,$0.70 - $1.20,B0723CZCRJ,9.90%,0.00%,B09461YZGK,3.70%,1.80%,B07YP9JK3F,3.30%,0.00%,"B017GAFO3E,B0D1CVYY1G,B07YP9JK3F,B0945GZPMB,B08JG3T2SY,B017YONTZC,B0831DQQ1G,B0CT4PBWVC,B0CT64L4Y1,B07SCK5SSX","big, Shorts, Man"
big and tall workout shorts for men,男士大而高的运动短裤,,,自然搜索词,0,2,B00AKSCXEI/B08JGBB9N1,"1,959,774",473,14,3.10%,"12,871",202,1,0,"8,647",0.1,4,23.70%,0.00%,,-,B0728KK8VK,7.90%,0.00%,B082XSSZZB,7.90%,0.00%,B09464J5CN,7.90%,0.00%,"B083463RFH,B09461YZGK,B08JGBB9N1,B000J9YQOS,B08LTB9SZW,B07H5PTQML,B0D2RLHHJ9,B0723CZCQT,B0CQ2ZNNKZ,B01AK7Y12A","big, Tall, Big And Tall, Shorts, Workout"
big and tall shorts for men 4xl,大码男士短裤 4xl,,,自然搜索词,0,2,B09T3QHVVM/B0BFDRQLNC,"1,662,018",877,22,2.60%,"18,582",341,1,0,"2,293",0.4,1,15.50%,0.00%,,-,B07NDP7ZTX,5.20%,0.00%,B0945H945X,5.20%,0.00%,B09QT6H6NQ,5.20%,0.00%,"B0945GZPMB,B07HNWFWRG,B0BZHDP4VX,B09T3QHVVM,B0058CUV3G,B08LTBN75C,B08B8YGQV7,B0BX7LHL7R,B01DL9UJXE,B08X1RP36Y","big, Tall, Big And Tall, Shorts"
big and tall men's shorts,又大又高的男士短裤,,,自然搜索词,0,1,B09T3QHVVM,"1,409,457",877,24,2.80%,"20,365",368,1,0,"42,963",0,4,15.50%,0.00%,$1.54 ,$1.10 - $2.93,B08P66V373,5.20%,0.00%,B09464J5CN,5.20%,0.00%,B0CQ2ZJ5F8,5.20%,0.00%,"B017GAFO3E,B0CQ2ZJ5F8,B0D1CVYY1G,B07YP9JK3F,B008I581P0,B0831FGTCZ,B09461YZGK,B08JGHDWNP,B017YONTZC,B092187Z3D","big, Tall, Big And Tall, Shorts"
big and tall gym shorts for men,大而高的男士健身短裤,,,自然搜索词,0,3,B00AKSCXEI/B01AK7Y102/B08JGBB9N1,"1,116,324","1,560",43,2.81%,"36,419",697,1,0,"7,939",0.2,4,14.10%,1.50%,,-,B0723CZCQT,8.70%,0.00%,B08JLFDRWM,2.90%,0.00%,B0CQ2XYD1X,2.60%,1.50%,"B0945GZPMB,B0CQ2XYD1X,B08B8ZS65T,B0723CZCQT,B08JGBB9N1,B0CRHF41F7,B0728BNL9X,B0036OS6KS,B08346K3ZS,B0BNJQ67KT","big, Tall, Big And Tall, gym, Shorts"
big and tall gym shorts,又大又高的运动短裤,,,自然搜索词,0,2,B01AK7Y102/B08JGBB9N1,"1,903,355",561,19,3.50%,"14,073",262,1,0,"13,403",0,4,31.00%,0.00%,$1.40 ,$1.05 - $1.75,B072JBQRLG,14.30%,0.00%,B08DRSDXBQ,11.90%,0.00%,B0CQ2XYD1X,4.80%,0.00%,"B0945GZPMB,B0CQ2XYD1X,B072JBQRLG,B08JGBB9N1,B0C25V1N5Y,B0CYVCM3H6,B0036OS6KS,B09T3S3BCX,B0CRHF41F7,B0151E6WX8","big, Tall, Big And Tall, gym, Shorts"
big and tall for men,大而高的男人,,,自然搜索词,0,1,B08JGBB9N1,"1,620,715","1,274",91,7.15%,"28,062",541,3,0,"75,566",0,6,14.50%,0.00%,$0.81 ,$0.66 - $1.08,B0CBDDQJGG,6.60%,0.00%,B0CBDHMCHK,5.30%,0.00%,B00JUM78Y0,2.60%,0.00%,"B0BPDXWXXP,B002GHC19I,B08LT9MJM2,B00FSB5TNE,B09LS5TV1F,B07D126W6P,B08NWJL7VX,B0B48C9DST,B0BKWHG7Z6,B086L79Q6X","big, Tall, Big And Tall"
big and tall basketball shorts,又大又高的篮球短裤,,,自然搜索词,0,1,B0C1365SJV,"1,296,460","1,202",1,0.07%,"32,364",505,1,0,"18,333",0.1,8,20.90%,0.00%,$1.24 ,$0.93 - $1.54,B07RRBBFM2,10.50%,0.00%,B06XJ965R6,6.00%,0.00%,B08DRSDXBQ,4.50%,0.00%,"B09SYBQJKJ,B0CYVDTTLK,B0D2MRK7G4,B0CQ2Z5R91,B0723CZCRJ,B08B8ZS65T,B06XJ965R6,B08HJRFBKM,B0CBL63RJM,B0BLN5S1QX","Basketball, big, Tall, Big And Tall, Shorts"
big & tall clothes,,,,自然搜索词,0,1,B09WMYXNJ9,,,,,,,,,0,,132,,,,-,,,,,,,,,,,"big, Tall"
best shorts for men,最佳男士短裤,,,自然搜索词/HR推荐词,0,2,B00AKSCXEI/B0C1365SJV,"1,061,019","2,848",101,3.55%,"80,595","1,161",3,0,"42,972",0.1,11,8.00%,0.00%,$1.48 ,$1.25 - $1.90,B09QT6H6NQ,3.30%,0.00%,B078VZ5QBW,2.60%,0.00%,B0D918VL7H,2.10%,0.00%,"B078VZ5QBW,B016Y8268U,B07GYFV13T,B078BHGGNC,B08TB8595Q,B0CQZ44ZQB,B07MMTLFB6,B01AK7ZK7A,B074HGJJJ5,B00AKSCXEI",Shorts
best selling shorts for men,,,,自然搜索词,0,2,B08JGBB9N1/B0C1365SJV,,,,,,,,,"16,608",,4,,,,-,,,,,,,,,,,Shorts
best sellers items,畅销商品,,,SP广告词,0,1,B0BFDRQLNC,"1,043,961","1,256",45,3.59%,"35,998",503,2,0,662,1.9,1,12.80%,0.00%,$1.10 ,$0.69 - $1.34,B0C8BJL1D3,4.80%,0.00%,B0168CNYD8,4.40%,0.00%,B00949CTQQ,3.70%,0.00%,"B076DMS9L8,B0BSR85M24,B002LC9OES,B07X7KMGBX,B08SWFJLDL,B08RRLJDGM,B0BTMXPHJY,B07PVBS863,B00L1GHHV2,B00YFQ1JH8",
best mens t shirts,最好的男式T桖,,,SP广告词,0,1,B0C4GQTCJK,"1,581,379","1,103",33,3.04%,"27,408",523,1,0,"57,069",0,10,13.40%,0.00%,$1.63 ,$1.23 - $2.04,B0787P86ZZ,4.50%,0.00%,B08XTM65LN,4.50%,0.00%,B08XV3WZ2K,4.50%,0.00%,"B08F2NSN4G,B0785VMVF4,B086KXNGKY,B01MYWGRYW,B081J8DXR8,B00NOY3JPC,B09KTMHS7S,B08NWJL7VX,B07NFSTB2Z,B078L9XPC2",Shirt
best mens shorts,,,,自然搜索词,0,1,B00AKSCXEI,,,,,,,,,"14,859",,4,,,,-,,,,,,,,,,,Shorts
best men's workout shorts,最佳男士运动短裤,,,自然搜索词,0,1,B00AKSCXEI,"2,019,180",986,96,9.74%,"28,710",408,3,0,"8,782",0.1,1,12.70%,14.30%,$2.08 ,$1.03 - $4.19,B0CRQGTCGV,4.80%,0.00%,B0D2S9965H,4.80%,0.00%,B08CXW8ZJD,3.20%,14.30%,"B01AK7XUGS,B07BPL162D,B00AKSCXEI,B000J9YQOS,B00719ZR9M,B0BLS19JVR,B0723CZCQT,B0B69FBQ18,B085NF55WL,B07H5PTQML","Workout, Shorts"
best men's shorts,,,,自然搜索词,0,2,B00AKSCXEI/B09T3QHVVM,,,,,,,,,"34,947",,4,,,,-,,,,,,,,,,,Shorts
best fathers day gifts,,,,SP广告词,0,1,B0BFDRQLNC,,,,,,,,,0,,128,,,,-,,,,,,,,,,,Father
beach shorts for women summer,,,,品牌广告词,0,1,B0BLKN87V4,,,,,,,,,0,,261,,,,-,,,,,,,,,,,"Shorts, Beach, Summer"
beach shorts 2pcs,,,,品牌广告词,0,1,B0BLKN87V4,,,,,,,,,0,,5,,,,-,,,,,,,,,,,"Shorts, Beach"
beach gifts for men,男士沙滩礼物,,,SP广告词,0,1,B0BFDVPFKX,"951,291","1,642",141,8.60%,"38,429",670,4,0,"53,411",0,2,13.80%,2.00%,$1.82 ,$1.37 - $2.15,B091FSSRL1,4.80%,2.00%,B07D18RYFQ,4.80%,0.00%,B08Y7D2HRB,4.20%,0.00%,"B01LXZBAC4,B091FSSRL1,B0B17NB28N,B08V3YJQ15,B000J3Z7TC,B07Q5VMTZS,B00DF0ZAP2,B079HV3TC9,B085XBQFVM,B08Y7D2HRB",Beach
bcg shorts,bcg 短裤,,,自然搜索词,0,1,B08JGBB9N1,"1,958,892",630,22,3.57%,"15,827",306,1,0,304,2.1,4,19.60%,0.00%,$1.19 ,$0.88 - $1.49,B07R1J9J3J,8.70%,0.00%,B0CZF2H3QZ,6.50%,0.00%,B09YNRM2M8,4.40%,0.00%,"B07R1J9J3J,B0723CZCRJ,B0CRHF41F7,B09P3RHNSY,B09PYR9YWK,B09PYTB8SD,B09G272YSB,B08HMSBPNG,B08JTQP6VY,B07NF3G29P",Shorts
basketballshorts,,Y,,AC推荐词,0,1,B0C1365SJV,,,,,,,,,0,,0,,,,-,,,,,,,,,,,Basketball
basketball shorts mesh,篮球短裤网眼,,,自然搜索词,0,1,B0C1365SJV,"1,797,811",807,25,3.22%,"23,931",386,1,0,"3,509",0.2,4,12.70%,11.10%,$1.29 ,$0.98 - $1.62,B099RSXNQH,5.50%,0.00%,B08JT243GF,3.60%,11.10%,B000J9YQOS,3.60%,0.00%,"B01ES40ZBW,B000J9YQOS,B00719ZQG6,B08LTBN75C,B0B49XX2N2,B076DJ5PWB,B001DB6ZA4,B0CRP9YDKN,B08HYQ24DW,B0D1JYKPZW","Basketball, Mesh, Shorts"
basketball shorts men with pockets,,,,自然搜索词,0,3,B01AK7Y102/B0BFDRQLNC/B0C1365SJV,,,,,,,,,"11,209",,4,,,,-,,,,,,,,,,,"Basketball, Shorts"
basketball shorts men pack,篮球短裤男装,,,自然搜索词,0,2,B0C1365SJV/B0CHMN8TDS,"1,027,024","1,318",38,2.92%,"36,852",584,1,0,"14,728",0.1,4,11.90%,5.80%,$1.12 ,$0.91 - $1.36,B08JTQP6VY,5.60%,0.00%,B08JGBB9N1,3.50%,1.90%,B07NDP7ZTX,2.80%,3.90%,"B08JG3T2SY,B07NDP7ZTX,B0CRHDQ8DX,B08S99RBHL,B0D46HCPDF,B0D2MRK7G4,B0BNW2KC41,B07WC2PK5C,B08B8ZS65T,B096K8V2JR","Basketball, Pack, Shorts"
basketball shorts for men with pockets,,,,自然搜索词,0,2,B01AK7Y102/B0C1365SJV,,,,,,,,,"12,198",,4,,,,-,,,,,,,,,,,"Basketball, Shorts"
basketball shorts for man,,,,自然搜索词,0,1,B0C1365SJV,,,,,,,,,0,,21,,,,-,,,,,,,,,,,"Basketball, Shorts, Man"
basketball shorts big and tall,篮球短裤又大又高,,,自然搜索词,0,1,B0C1365SJV,"2,018,171",630,15,2.51%,"15,324",250,1,0,"17,517",0,4,19.60%,0.00%,$1.33 ,$1.00 - $1.65,B072JBQRLG,6.50%,0.00%,B07NDP7ZTX,6.50%,0.00%,B08DRSDXBQ,6.50%,0.00%,"B09SYBQJKJ,B08JGHDWNP,B0CQ2Z5R91,B0723CZCRJ,B0CYVDTTLK,B06XJ965R6,B0868STX1N,B07CZJ4F29,B08HJRFBKM,B08LTBNKPC","Basketball, big, Big And Tall, Tall, Shorts"
basketball shorts and1,,,,自然搜索词,0,1,B08JGBB9N1,,,,,,,,,127,,8,,,,-,,,,,,,,,,,"Basketball, Shorts"
basketball shorts 10 inch inseam,,,,自然搜索词,0,1,B0BFDRQLNC,"2,018,170",,,,,,,,0,,0,,,,-,,,,,,,,,,,"Basketball, Shorts, Inseam"
basketball mesh shorts,,,,自然搜索词,0,1,B0C1365SJV,,,,,,,,,"3,563",,4,,,,-,,,,,,,,,,,"Basketball, Mesh, Shorts"
basketball logo shorts,,,,自然搜索词,0,1,B0C1365SJV,,,,,,,,,0,,0,,,,-,,,,,,,,,,,"Basketball, Shorts"
basketball jersey short,,,,自然搜索词,0,1,B0151E6WPQ,,,,,,,,,0,,,,,,-,,,,,,,,,,,"Basketball, Jersey, Short"
basketball gifts for men,男士篮球礼物,,,HR推荐词,0,3,B0BFDRQLNC/B0BFDVPFKX/B0C4GV51WK,"1,156,320",140,1,1.09%,"3,884",66,1,1,"8,864",0,68,28.10%,33.30%,$0.70 ,$0.58 - $0.94,B07B1N67J5,9.40%,33.30%,1683583086,9.40%,0.00%,B08SK9XP91,9.40%,0.00%,"B0845LMJ2S,B0CBN9ZNKZ,B07B1N67J5,1683583086,B0BRDCMZP1,B0BXT7QQSZ,B09C7QZ5P1,B083HDM8S4,B01HBSKFF8,B0BLGN7Q75",Basketball
basketball gear men,篮球装备男,,,自然搜索词,0,1,B08JGBB9N1,"2,297,045",446,13,2.96%,"9,303",193,1,0,"21,326",0,20,21.60%,20.00%,$1.22 ,$0.92 - $1.52,B0BX2V6Y37,8.10%,20.00%,B0BRDCMZP1,8.10%,0.00%,B09X2KQSZ8,5.40%,0.00%,"B0CBN9ZNKZ,B0BRDCMZP1,B0BX2V6Y37,B0BNQ5H5T9,B00M1E9E0U,B07DLFP8Q5,B09Q3K8ZQ8,B0B1ZXBB8P,B0874W9LW2,B0B7BD9THP",Basketball
basketball clothing,,,,自然搜索词,0,1,B08JGBB9N1,,,,,,,,,"93,348",,5,,,,-,,,,,,,,,,,"Basketball, Clothing"
basketbal shorts,,,,SP广告词,0,2,B0BFDRQLNC/B0C1365SJV,,,,,,,,,0,,17,,,,-,,,,,,,,,,,Shorts
basketabll shorts,,Y,,AC推荐词,0,1,B0C1365SJV,,,,,,,,,0,,0,,,,-,,,,,,,,,,,Shorts
basic editions shorts,基本款短裤,,,自然搜索词,0,1,B09T3QHVVM,"1,750,102",672,21,3.13%,"18,368",303,1,0,355,1.9,14,14.30%,0.00%,$0.79 ,$0.58 - $0.99,B09RFD92ZN,6.10%,0.00%,B073DCXC3Y,4.10%,0.00%,B082XK4W7W,4.10%,0.00%,"B0151E6Y2W,B0BVMVJ8MY,B0BRKV5HR3,B073DCXC3Y,B016YKKHOI,B09VR6H493,B092LZMSW9,B09RDSMHQ4,B09XVBFSHC,B09T3QHVVM","Shorts, Basic"
baseball 101 shorts,,,,自然搜索词,0,1,B0BFDTMBGP,,,,,,,,,0,,0,,,,-,,,,,,,,,,,Shorts
bandana shorts men,头巾短裤男士,,,SP广告词,0,1,B01AK7Y102,"1,958,318",140,4,3.09%,"3,061",67,1,1,217,0.7,1,33.30%,0.00%,$0.62 ,$0.41 - $0.79,B0BYNB7511,12.10%,0.00%,B0CTJH6LYY,12.10%,0.00%,B0CS56QC8H,9.10%,0.00%,"B0CS56QC8H,B0CMWLQK88,B0BYNB7511,B0CXXGWJFX,B0CTJH6LYY,B0CJJHQCPH,B0D1GNRJLT,B0D6YHVZXP,B0D1VM1SSC,B092HWGZHK",Shorts
balennz workout shirts for men,,,,自然搜索词,0,1,B08JGBB9N1,,,,,,,,,219,,2,,,,-,,,,,,,,,,,Workout
balennz athletic shorts for men with pockets and elastic,,Y,,自然搜索词/AC推荐词/SP广告词,0,2,B08JGBB9N1/B0BFDTMBGP,,,,,,,,,42,,2,,,,-,,,,,,,,,,,"Athletic, Shorts, Elastic"
balennz athletic shorts for men,,Y,,AC推荐词,0,1,B08JGBB9N1,,,,,,,,,221,,5,,,,-,,,,,,,,,,,"Athletic, Shorts"
balennz,,Y,,自然搜索词/AC推荐词/SP广告词,0,1,B08JGBB9N1,,,,,,,,,418,,22,,,,-,,,,,,,,,,,len
baleaf men's square,,,,SP广告词,0,1,B0BFDTMBGP,,,,,,,,,0,,0,,,,-,,,,,,,,,,,baleaf
baketaball shorts men,,,,自然搜索词,0,1,B0C1365SJV,,,,,,,,,0,,0,,,,-,,,,,,,,,,,Shorts
badminton wear men,,,,SP广告词,0,2,B0BFDSVMPF/B0C4GV51WK,,,,,,,,,0,,0,,,,-,,,,,,,,,,,Mint
austrian flag beach shorts,,,,品牌广告词,0,1,B0BLKN87V4,,,,,,,,,0,,28,,,,-,,,,,,,,,,,"Shorts, Beach, Flag"
atletic shorts,,,,自然搜索词,0,2,B00AKSCXEI/B08JGBB9N1,,,,,,,,,"31,144",,8,,,,-,,,,,,,,,,,Shorts
athletic、,,,,自然搜索词,0,1,B0C1365SJV,,,,,,,,,0,,0,,,,-,,,,,,,,,,,Athletic
athletics shorts men,,,,SP广告词,0,4,B0BFDRQLNC/B0BFDSVMPF/B0BFDTMBGP/B0C1365SJV,,,,,,,,,0,,0,,,,-,,,,,,,,,,,"Athletic, Shorts"
athletics,,,,自然搜索词,0,1,B0C1365SJV,,,,,,,,,"21,410",,0,,,,-,,,,,,,,,,,Athletic
athletic-shorts,,,,自然搜索词,0,1,B01AK7Y102,,,,,,,,,0,,0,,,,-,,,,,,,,,,,Athletic
athletic wear for men,男士运动服,Y,,自然搜索词/AC推荐词,0,1,B08JGBB9N1,"1,349,572","1,533",7,0.46%,"38,044",742,1,0,"106,571",0,10,8.40%,0.00%,$0.70 ,$0.52 - $0.88,B0785VMVF4,2.90%,0.00%,B087G2XPB2,2.90%,0.00%,B0962P6RDC,2.60%,0.00%,"B0785VMVF4,B087G2XPB2,B07NWZ6PBF,B0B728NH19,B09KDLYX46,B07H5QPL1R,B07DRN7QQD,B08JGBB9N1,B07PMTKK34,B00FSB5YHK",Athletic
athletic sports casual,,,,SP广告词,0,1,B0BFDSVMPF,,,,,,,,,0,,32,,,,-,,,,,,,,,,,"Athletic, Casual, Sports"
athletic shorts pack,运动短裤包,,,自然搜索词,0,2,B08JGBB9N1/B0C1365SJV,"1,115,500","1,397",39,2.86%,"34,432",581,1,0,"22,227",0.1,23,10.90%,0.00%,$1.00 ,$0.69 - $1.17,B08SM975K6,5.10%,0.00%,B0CGR74G6C,3.10%,0.00%,B09FZ47RDB,2.70%,0.00%,"B08JGBB9N1,B07H5QPL1R,B0CRQFLWT3,B08LTBLD95,B09FZ47RDB,B09X8WHSQ8,B08JTQP6VY,B0CGR6VWSN,B082XK4W7W,B08PJFG619","Athletic, Pack, Shorts"
athletic shorts men with pockets,,,,自然搜索词,0,1,B0C1365SJV,,,,,,,,,0,,44,,,,-,,,,,,,,,,,"Athletic, Shorts"
athletic shorts men 9 inch,男式运动短裤 9英寸,,,自然搜索词,0,3,B00AKSCXEI/B08JGBB9N1/B0CHMN8TDS,"2,295,328",686,18,2.73%,"13,911",267,1,0,"2,001",0.3,8,12.00%,9.10%,$1.46 ,$1.10 - $1.83,B0BFDVJ414,4.00%,9.10%,B00AKSCXEI,4.00%,0.00%,B07NDP7ZTX,4.00%,0.00%,"B0BFDVJ414,B08JGBB9N1,B000JC0YJQ,B08P57B616,B0CX54JVDP,B0BVT9V2XD,B0723CZCQT,B07NDP7ZTX,B00AKSCXEI,B0BQ1STY4G","Athletic, Shorts"
athletic shorts men 7 inch,男式运动短裤 7 英寸,,,自然搜索词,0,1,B09P3T8X61,"1,660,222","1,313",34,2.66%,"37,657",548,1,0,"2,548",0.5,4,11.40%,0.00%,$1.46 ,$1.10 - $1.83,B09W9J74JC,3.80%,0.00%,B0CJSM512X,3.80%,0.00%,B0CRQFLWT3,3.80%,0.00%,"B0BXWCF25S,B085NF55WL,B0BNW4VZPK,B08BX4YRYJ,B0CRQFLWT3,B0CJSM512X,B0D1C18PXQ,B09NXV4PD6,B0BZPJW6G4,B0D3P9XTKV","Athletic, Shorts"
athletic shorts for mrn,,,,自然搜索词,0,2,B09P3T8X61/B0C1365SJV,,,,,,,,,0,,0,,,,-,,,,,,,,,,,"Athletic, Shorts"
athletic shorts for men with pockets,男士有口袋运动短裤,,,自然搜索词,0,1,B0C1365SJV,"1,847,237",140,4,3.51%,"3,255",65,1,1,"24,530",0,4,18.20%,0.00%,,-,B00KUL0W1G,6.10%,0.00%,B01AK7Y102,6.10%,0.00%,B08C2Q49MR,6.10%,0.00%,"B0CRHF41F7,B08JG3T2SY,B00KUL0W1G,B0CRRF28SH,B08LTBLD95,B08JTQP6VY,B0CJ1D8N79,B07NDP7ZTX,B07BPLHK9T,B072JBQRLG","Athletic, Shorts"
athletic shorts for men with liner,,,,SP广告词,0,1,B0BFDSVMPF,,,,,,,,,"2,000",,1,,,,-,,,,,,,,,,,"Athletic, Shorts"
athletic shorts for men 9 inch inseam,,Y,,自然搜索词/AC推荐词,0,2,B01AK7Y102/B08JGBB9N1,,,,,,,,,"1,578",,9,,,,-,,,,,,,,,,,"Athletic, Shorts, Inseam"
athletic shorts for men 5 inch,,,,SP广告词,0,1,B0BFDTMBGP,,,,,,,,,"1,969",,4,,,,-,,,,,,,,,,,"Athletic, Shorts"
athletic shorts 7in,,,,自然搜索词,0,1,B09P3T8X61,,,,,,,,,0,,0,,,,-,,,,,,,,,,,"Athletic, Shorts"
athletic short,运动短裤,,,自然搜索词,0,3,B00AKSCXEI/B08JGBB9N1/B09P3T8X61,"1,408,176","1,341",47,3.53%,"30,340",627,2,37,"30,423",0,9,10.70%,5.00%,$1.10 ,$0.81 - $1.26,B0B3JNKRWM,4.30%,0.00%,B09MKMXMWN,3.20%,5.00%,B08TM8T3ZX,3.20%,0.00%,"B0CRHF41F7,B09XZRCZ77,B08JGBB9N1,B09MKMXMWN,B0BRSSDZBP,B0C12LDLN4,B09MM6TWP3,B0723CZCQT,B07S58P8LD,B0CP1Y8BH7","Athletic, Short"
athletic shoets,,,,自然搜索词,0,2,B01AK7Y102/B0BFDTMBGP,,,,,,,,,"27,294",,0,,,,-,,,,,,,,,,,Athletic
athletic running shorts,,,,SP广告词,0,1,B09P3T8X61,,,,,,,,,0,,24,,,,-,,,,,,,,,,,"Athletic, Shorts, Running"
athletic mens shorts,男式运动短裤,,,自然搜索词,0,3,B09P3T8X61/B09XQVCZ8B/B0C1365SJV,"1,541,772","1,450",45,3.17%,"35,071",659,2,0,"18,002",0.1,78,12.90%,1.40%,$1.54 ,$1.15 - $1.94,B0723CZCRJ,5.80%,0.00%,B0CRHF41F7,3.70%,1.40%,B08XM7421N,3.40%,0.00%,"B08JG3T2SY,B0CRHF41F7,B00KUL0W1G,B072JBQRLG,B0C1365SJV,B0CRRF28SH,B0BQ1YTS18,B07BPLHK9T,B08JTQP6VY,B09PYTB8SD","Athletic, Shorts"
athletic gym shorts men,,,,自然搜索词,0,4,B00AKSCXEI/B01AK7Y102/B08JGBB9N1/B09XQVCZ8B,,,,,,,,,0,,20,,,,-,,,,,,,,,,,"Athletic, Shorts, gym"
athletic gear,,,,自然搜索词,0,1,B08JGBB9N1,,,,,,,,,"12,964",,25,,,,-,,,,,,,,,,,Athletic
atheltic shorts men,,,,自然搜索词,0,6,B00AKSCXEI/B0151E6WPQ/B08JGBB9N1/B09P3T8X61/B09XQVCZ8B/B0C1365SJV,,,,,,,,,"18,050",,9,,,,-,,,,,,,,,,,Shorts
asics running shorts,亚瑟士跑步短裤,,,自然搜索词,0,1,B09P3T8X61,"1,135,183","1,374",45,3.29%,"29,132",617,2,0,284,4.8,19,17.60%,0.00%,$1.48 ,$1.11 - $1.85,B0C4YSKB7R,6.40%,0.00%,B071JPKSCN,5.80%,0.00%,B0C4YS95TX,5.40%,0.00%,"B0C4YSKB7R,B071JPKSCN,B0BTML68WL,B0BHY1ST4S,B01BLS6O5O,B0BV7FHV45,B0BTMN5KHR,B01BCRP69O,B09LYQKXML,B083V66WCN","Shorts, Running"
