cst,关键词翻译,AC推荐词,流量占比,流量词类型,预估周曝光量,相关产品,相关ASIN,ABA周排名,月搜索量,月购买量,购买率,展示量,点击量,SPR,标题密度,商品数,需供比,广告竞品数,点击集中度,前三ASIN转化总占比,PPC竞价,建议竞价范围,#1 前三ASIN,#1 点击共享,#1 转化共享,#2 前三ASIN,#2 点击共享,#2 转化共享,#3 前三ASIN,#3 点击共享,#3 转化共享,前十ASIN,matched_text
short sleeve dress shirts for men,男士短袖礼服衬衫,,0.94%,SP广告词,"18,525 ",6.0,B0CTD4CZFD/B0CP2H2RKN/B0CZ3F26DY/B0CTD5VB3Q/B087X2996Y/B072R1M44T,"76,285","23,489 ","4,035 ",17.18%,"511,005 ","10,226 ",92 ,1.0,"5,625 ",4.2,21 ,11.2%,0.9%,$1.14,$0.85 - $2.29,B00GJB29U8,4.5%,0.5%,B000PHK0WG,3.4%,0.3%,B0D2R14786,3.4%,0.0%,"B00GJB29U8,B0BV27DL6Y,B0CP2H2RKN,B09Q53NNX5,B09Q5423LG,B000PHK0WG,B07LF73QRD,B0BNL6H7TT,B0D5H32RXK,B0CQLQLWXL","Short, Dress, Sleeve, Short Sleeve"
mens short sleeve dress shirts,男式短袖礼服衬衫,,0.90%,SP广告词,"17,681 ",6.0,B0CMPX8C4M/B087X2996Y/B0CP2H2RKN/B0CZ3F26DY/B0CTD5VB3Q/B072R1M44T,"66,355","27,199 ","5,154 ",18.95%,"664,754 ","12,625 ",117 ,6.0,"5,625 ",4.8,33 ,9.4%,1.6%,$1.15,$0.87 - $1.45,B00GJB29U8,3.7%,1.3%,B0D2R14786,3.2%,0.0%,B0BV241H3F,2.5%,0.3%,"B00GJB29U8,B0BV27DL6Y,B09Q5423LG,B0CP2H2RKN,B0CQLQLWXL,B000PHK0WG,B09Q53NNX5,B0CJTZ6B8B,B000PHI5LE,B0BNL6H7TT","Short, Dress, Sleeve, Short Sleeve"
men's dress shirts,男式礼服衬衫,,0.84%,自然搜索词/SP广告词,"16,590 ",8.0,B087X2996Y/B072QYBXYV/B072R1M44T/B0C3BY68QP/B0CZ3F26DY/B0CTD4CZFD/B0CP2H2RKN/B0CTD5VB3Q,"46,469","36,571 ","4,125 ",11.28%,"1,031,824 ","14,521 ",94 ,13.0,"19,477 ",1.9,123 ,9.8%,0.4%,$0.98,$0.68 - $1.96,B08ZRX3WQX,4.1%,0.0%,B009ESZFFO,2.8%,0.3%,B0012OJO8M,2.8%,0.2%,"B009ESZFFO,B009ESZFMC,B0012OJO8M,B00BM48E92,B0CJTXBXF7,B00BM48DSY,B00D1SQBQK,B0CG6D7SGQ,B0775MHKD6,B07DPM1TW7","Dress Shirt, Dress"
men dress shirt,男士礼服衬衫,,0.77%,自然搜索词/SP广告词,"15,272 ",7.0,B0CTD5VB3Q/B072R1M44T/B072QYBXYV/B087X2996Y/B0CTD4CZFD/B0CP2H2RKN/B0CZ3F26DY,"46,598","34,629 ","2,444 ",7.06%,"723,647 ","15,879 ",56 ,2.0,"8,591 ",4.0,52 ,10.7%,0.5%,$1.87,$1.00 - $2.33,B009ESZFFO,4.3%,0.4%,B08ZRX3WQX,3.4%,0.0%,B09W26RM6G,3.0%,0.1%,"B009ESZFFO,B0CJTXBXF7,B00D1SQBQK,B0195YYKGG,B00BM48FP0,B00BM48DSY,B0775MHKD6,B0012ODZIW,B07MJ24SVV,B0058YU558","Shirt, Dress Shirt, Dress"
hawaiian shirt,哈瓦那衬衫,,0.77%,自然搜索词/SP广告词,"15,113 ",1.0,B0CRQHBWHR,"15,738","80,429 ",305 ,0.38%,"1,740,315 ","39,444 ",8 ,183.0,"14,210 ",5.7,318 ,10.0%,2.5%,$0.87,$0.64 - $1.09,B0BX9K5P5R,5.7%,2.0%,B0C1BCTNW9,2.6%,0.3%,B071GMQW4W,1.7%,0.3%,"B0CP1TNYTX,B0CY1WXKB2,B08SQ6HHSG,B09LVGHNYH,B07NSGJWR2,B08Q7XM29N,B0CPRWX6WZ,B08Q7W62TG,B07JHQ8TGZ,B0CN6BZRTJ","Shirt, hawaiian"
mens hawaiian shirts short sleeve,男士夏威夷衬衫短袖,,0.70%,SP广告词,"13,835 ",2.0,B0CRQJDHBB/B0CRQHBWHR,"19,583","71,758 ",466 ,0.65%,"1,506,483 ","35,777 ",11 ,13.0,"5,463 ",13.1,269 ,6.9%,1.5%,,-,B071GMQW4W,2.7%,0.6%,B0BL145735,2.6%,0.6%,B0CSFN4T82,1.7%,0.3%,"B0CT2TZ2G5,B093RZQLVX,B09LVJKN4T,B0CSFN4T82,B0CRQJDHBB,B0CSJZ884L,B0CSJV4G6M,B08Q7Q6J2H,B0CN6BZRTJ,B0CP1SW4CB","hawaiian, Short, Sleeve, Short Sleeve"
button up shirt men,纽扣衬衫男士,,0.68%,SP广告词,"13,356 ",7.0,B072QYNDGR/B0CTD5VB3Q/B0CRQHBWHR/B072QYBXYV/B0CTD4CZFD/B0CP2H2RKN/B072R1M44T,"30,178","51,460 ","3,607 ",7.01%,"1,479,499 ","23,550 ",82 ,0.0,"10,402 ",5.0,138 ,7.0%,2.0%,$1.01,$0.91 - $1.14,B0BV241H3F,3.9%,1.5%,B0B5GG9CPR,1.6%,0.5%,B0C2H1DTG4,1.5%,0.0%,"B0BV241H3F,B0CX22CQGX,B0CZ938PL7,B083P3C62B,B07756XY2P,B0CL6W4BHQ,B0CNXK4KRH,B0CX1LJCFP,B07JHY5F25,B0CMV5H36S","Button, Shirt, Button Up"
camisas de vestir para hombres,男式运动衫,,0.66%,自然搜索词,"13,054 ",4.0,B072QYBXYV/B0CTD5VB3Q/B072R1M44T/B0CZ3F26DY,"57,263","32,105 ","1,097 ",3.42%,"668,211 ","16,040 ",25 ,0.0,576 ,55.7,128 ,6.3%,0.4%,$0.97,$0.80 - $1.17,B09W26RM6G,3.0%,0.4%,B0CQWW1J8V,1.7%,0.0%,B0CQX1FVL3,1.6%,0.0%,"B0CQX29KPG,B09JFV7HHY,B0CJTXBXF7,B0CR3RGPQ5,B0CQX1FVL3,B09Q854PQJ,B009ESZFFO,B0CN15P53X,B0BYNXDJHZ,B0CC2FCKG3",Hombre
mens clothes,男装,,0.66%,SP广告词,"12,973 ",3.0,B0CP2GW74R/B0CMPX7CZ5/B072R1M44T,"21,001","89,102 ",151 ,0.17%,"2,588,422 ","38,711 ",4 ,0.0,"65,586 ",1.4,208 ,7.4%,2.4%,$1.17,$0.88 - $1.48,B077ZJXCTS,3.0%,0.8%,B0BV241H3F,2.7%,0.7%,B0787P86ZZ,1.8%,0.9%,"B077ZJXCTS,B0BV241H3F,B07776V7KW,B09W91FGSH,B07VGDJWNC,B07VCY6LX6,B0993FB873,B071JYV6LN,B086L69KCL,B0CL6TKMDK",
mens button up shirts short sleeve,男士纽扣衬衫短袖,,0.65%,自然搜索词,"12,731 ",6.0,B0CTD4KBXQ/B09J2LHQ5L/B0CRQHBWHR/B087X2996Y/B0CTD5VB3Q/B0CZ3F26DY,"44,707","40,073 ","5,830 ",14.55%,"1,091,597 ","16,835 ",133 ,0.0,"7,659 ",5.2,49 ,10.1%,0.8%,$0.88,$0.63 - $1.15,B0BV241H3F,4.2%,0.7%,B08P7BS6SV,3.4%,0.0%,B0CSCSZYQW,2.6%,0.1%,"B0BV241H3F,B083P3C62B,B0CWH3LH7N,B0CMV5H36S,B0CN68MMP8,B0CPM64R4C,B07JJJ6GR7,B0CQLRQCYF,B07JHY5F25,B0BNLH7J1C","Button, Short, Sleeve, Short Sleeve"
mens shirts summer,男士衬衫夏季,,0.64%,自然搜索词,"12,683 ",3.0,B0CMPX7CZ5/B0CWNT4CGV/B087X2996Y,"40,644","52,482 ","1,668 ",3.18%,"1,480,933 ","23,145 ",38 ,0.0,"29,111 ",1.8,107 ,5.6%,1.5%,$1.08,$0.81 - $1.35,B0BVB6LQPT,2.7%,0.7%,B077765WMW,1.5%,0.4%,B0BVB6FXR1,1.4%,0.4%,"B0BVB6LQPT,B077765WMW,B0CYZ82W98,B0CM6PN3TQ,B0BQK6TQSC,B0CJTXZ1HR,B0CP1MNHX5,B0CMGZYLHN,B09V7W1S4R,B01GH5GSLG",Summer
guayabera shirts for men,瓜亚贝拉男士衬衫,,0.64%,自然搜索词,"12,531 ",1.0,B087X2996Y,"22,049","64,481 ",277 ,0.43%,"1,657,228 ","26,886 ",7 ,8.0,650 ,99.2,127 ,8.5%,1.0%,$0.40,$0.30 - $0.50,B08G18T3YS,3.7%,0.3%,B0B1TKV6KP,2.7%,0.6%,B0BXD3P5Y6,2.1%,0.1%,"B0CJTWL9DB,B07SPYJL61,B0CRDKMHD3,B0BXD3P5Y6,B0CN6CF5X5,B08F2BRL2M,B0CRTXDFGN,B004D3S7NW,B003S2DPX6,B0CN6CNDTV","guayabera, Guayabera Shirt"
men shirts,男式衬衫,,0.62%,自然搜索词/HR推荐词/SP广告词,"12,221 ",6.0,B072R1M44T/B0CWNT4CGV/B087X2996Y/B0CRQJDHBB/B0CMPX7CZ5/B0CZ3F26DY,"29,983","51,116 ","3,833 ",7.50%,"1,283,663 ","23,465 ",87 ,0.0,"72,369 ",0.7,188 ,7.8%,2.2%,$0.40,$0.20 - $0.44,B0787P86ZZ,3.8%,1.7%,B0BVB6LQPT,2.1%,0.5%,B0BZDLXKTS,1.9%,0.0%,"B0787P86ZZ,B0BVB6LQPT,B0BPDZ61XX,B078LC7GCX,B07FMZBNX5,B08F2PPVXM,B077765WMW,B07895FGCL,B06VYH8K15,B0000ANHT7",Shirt
mens button down shirt,男式纽扣衬衫,,0.62%,HR推荐词/SP广告词,"12,153 ",7.0,B0CWNT4CGV/B072R1M44T/B0CRQHBWHR/B072QYBXYV/B0CTD4CZFD/B0CMPX7CZ5/B0CZ3F26DY,"53,467","31,033 ","2,749 ",8.86%,"622,070 ","14,547 ",63 ,0.0,"15,162 ",2.1,198 ,7.9%,1.5%,$1.11,$0.94 - $1.34,B0BV241H3F,3.5%,1.1%,B0BV27DL6Y,2.6%,0.1%,B0BV257YG8,1.7%,0.3%,"B07756DQ8K,B06XWPZY24,B0BV241H3F,B0776668MG,B081SLN1VL,B083P3QPH6,B07JX84RQ7,B0CQLQLWXL,B0D4LXM96V,B079ZQRFF1","Button, Shirt, Button Down"
slim fit dress shirts for men,男士修身礼服衬衫,,0.61%,SP广告词,"11,972 ",4.0,B0C3BY68QP/B0CTD4CZFD/B0CTD5VB3Q/B072R1M44T,"81,067","21,360 ",85 ,0.40%,"460,796 ","8,317 ",2 ,4.0,"2,929 ",7.3,34 ,10.7%,1.5%,$1.20,$0.89 - $1.50,B01M1K82SZ,3.9%,1.0%,B06W2FYPD9,3.6%,0.3%,B0CC2GPR2H,3.2%,0.2%,"B06W2FYPD9,B01M1K82SZ,B0CQX28MD8,B0058YU558,B0BRWNDDT8,B0195YXKVM,B071NBXH8Y,B08SR7PPSH,B00BM48EWO,B0762T8PH9","Dress Shirt, Dress"
van heusen dress shirts for men,范海森男士礼服衬衫,,0.57%,SP广告词,"11,177 ",6.0,B0CP2HQVVH/B0CZ3F26DY/B0C3BY68QP/B072QYBXYV/B072R1M44T/B0CP2H2RKN,"37,560","42,164 ",84 ,0.20%,"1,226,361 ","20,548 ",2 ,0.0,349 ,120.8,72 ,18.4%,0.6%,$0.75,$0.50 - $1.35,B08ZRX3WQX,6.8%,0.0%,B009ESZFMC,6.4%,0.6%,B0979KC6CW,5.3%,0.0%,"B06WGLBMVV,B009ESZFMC,B00BM48EWO,B0979J1YVH,B0979HSDWP,B00DU6AJ8Y,B01DWM73UM,B07MJ24SVV,B00GJB29U8,B07DPLVPZ5","Dress Shirt, Dress"
coofandy,coofandy,,0.56%,SP广告词,"11,127 ",5.0,B0CMPX8C4M/B087X2996Y/B0CWNT4CGV/B0CZ3F26DY/B072R1M44T,"35,407","47,938 ","3,504 ",7.31%,"1,292,093 ","18,273 ",80 ,881.0,"2,774 ",17.3,720 ,8.4%,1.4%,$1.00,$0.75 - $1.25,B0BV241H3F,3.2%,1.3%,B0CN981FD8,2.7%,0.1%,B0CPTHL7KT,2.6%,0.0%,"B0D8QHVLTH,B0BV241H3F,B0D8BJP6LL,B0BKLVLXZB,B0BNDFFZ8X,B0D6VPW6N9,B0D8LBM5PR,B0D7VQ7X7W,B0D73HX6BX,B0CKVQJKWX",Coofandy
linen,亚麻布,,0.53%,自然搜索词/SP广告词,"10,512 ",2.0,B0CMPX7CZ5/B0CP2H2RKN,"63,514","38,653 ",23 ,0.06%,"843,764 ","14,898 ",1 ,346.0,"81,788 ",0.5,696 ,9.2%,0.4%,$0.80,$0.63 - $1.04,B0B2DDSMSQ,4.8%,0.0%,B0D93LQ6PR,2.5%,0.0%,B0BYZ8NDPM,1.8%,0.4%,"B0B2DDSMSQ,B0BYZ8NDPM,B0CKMV3L8K,B0BVB6FXR1,B0BVB6LQPT,B06WLHKKBG,B0CKW1YW3M,B0C4H3SF9N,B0C4KY9BJ4,B08DF6Q3FP",Linen
black button up shirt men,黑色纽扣衬衫男士,,0.52%,自然搜索词/HR推荐词/SP广告词,"10,332 ",3.0,B0CTD4CZFD/B072QYBXYV/B0CTD5VB3Q,"39,510","38,399 ",756 ,1.97%,"861,986 ","17,013 ",18 ,0.0,"4,208 ",9.1,36 ,8.9%,1.3%,$1.04,$0.93 - $1.27,B0CX22CQGX,3.2%,0.8%,B07R7LXFZG,3.2%,0.4%,B0BNT8L7HH,2.5%,0.2%,"B0CX22CQGX,B09JFW6X9B,B0CN68MMP8,B0CHFHQ2F8,B0CMV5H36S,B07756XY2P,B09Q5423LG,B0BNT8L7HH,B07C2DY9Z8,B07F2S5YTC","Button, Shirt, Black, Button Up"
summer shirts for men,男士夏季衬衫,,0.49%,自然搜索词,"9,588 ",3.0,B0CMPX7CZ5/B0CWNT4CGV/B087X2996Y,"47,084","45,086 ","6,726 ",14.92%,"945,825 ","22,063 ",153 ,0.0,"36,639 ",1.2,144 ,5.3%,1.7%,$1.09,$0.81 - $1.36,B0BVB6LQPT,2.6%,0.6%,B0CL3YGG6F,1.4%,0.4%,B0BVB7THLY,1.4%,0.7%,"B0BVB6LQPT,B0BV257YG8,B0CYZ82W98,B0CP1MNHX5,B0CL3YGG6F,B077765WMW,B0CMGZYLHN,B0CRQJC4RN,B0CJTXZ1HR,B093RZQLVX",Summer
hawaiian shirts for men,衬衫,,0.47%,SP广告词,"9,324 ",2.0,B0CRQJDHBB/B0CRQHBWHR,"32,003","50,238 ",311 ,0.62%,"1,326,002 ","21,839 ",8 ,27.0,"6,746 ",7.5,181 ,7.8%,1.4%,$1.03,$0.77 - $1.29,B08TBLDQGT,3.8%,0.6%,B0C1BCTNW9,2.2%,0.3%,B0BL137H3D,1.9%,0.6%,"B0BL145735,B09LVGHNYH,B0BL137H3D,B0CP1TNYTX,B08SQ6HHSG,B083P314GB,B09LVJKN4T,B08SQ39PY5,B08Q7XM29N,B0CSFN4T82",hawaiian
van heusen short sleeve shirts for men,范豪森男士短袖衬衫,,0.46%,自然搜索词/视频广告词/SP广告词,"8,985 ",3.0,B0CP2HQVVH/B0CP2H2RKN/B0CZ3F26DY,"113,796","17,542 ","2,661 ",15.17%,"507,407 ","7,481 ",61 ,0.0,212 ,82.8,34 ,23.1%,4.0%,$0.69,$0.55 - $0.97,B079ZKQ26W,8.8%,1.8%,B079ZZBVZK,7.8%,0.9%,B00GJB29U8,6.5%,1.3%,"B00GJB29U8,B00K8N4TGU,B0788C6XCP,B08GQ9P4MJ,B08VTSHP4F,B0775YFQMQ,B00OCGLL2O,B00ZDH6ZOU,B079TCY4LV,B07K7C8W7G","Short, Sleeve, Short Sleeve"
mens summer shirts,男式夏季衬衣,,0.44%,自然搜索词,"8,671 ",2.0,B0CMPX7CZ5/B087X2996Y,"38,319","55,833 ","8,603 ",15.41%,"1,359,164 ","22,998 ",196 ,0.0,"40,575 ",1.4,149 ,6.0%,1.5%,$1.04,$0.91 - $1.30,B0BVB6LQPT,2.9%,0.5%,B0BVB7THLY,1.7%,0.7%,B0BVB6FXR1,1.3%,0.3%,"B0BVB6LQPT,B0CP1MNHX5,B0CYZ82W98,B09V7W1S4R,B0CP1MRYWF,B0CJTXZ1HR,B0CL3YGG6F,B093RZQLVX,B077765WMW,B0CM6PN3TQ",Summer
men's short sleeve button down shirt,男士短袖纽扣衬衫,,0.41%,自然搜索词,"8,072 ",4.0,B0CRQHBWHR/B0CP2H2RKN/B0CTD5VB3Q/B087X2996Y,"128,509","15,732 ","1,415 ",9.00%,"434,369 ","6,757 ",33 ,0.0,"10,207 ",1.5,43 ,14.0%,0.2%,$0.82,$0.57 - $1.32,B08P7BS6SV,9.8%,0.2%,B0BVB6LQPT,2.5%,0.0%,B07JJJ6GR7,1.7%,0.0%,"B0BVB6LQPT,B07JJJ6GR7,B0CQLRTRVM,B079TN6RR3,B0CR3RGPQ5,B079ZKQ26W,B08P66TYD6,B0CZ98VMJ1,B0BNL5H6Y7,B0CJTZLCQ2","Shirt, Short, Button, Short Sleeve, Sleeve"
mens hawaiian shirt,男式哈瓦那衬衫,,0.39%,SP广告词,"7,705 ",3.0,B0CRQJDHBB/B0CRQHBWHR/B087X2996Y,"42,019","41,847 ",251 ,0.60%,"1,227,390 ","16,579 ",6 ,28.0,"6,683 ",6.3,257 ,5.8%,0.6%,$1.07,$0.89 - $1.20,B071GMQW4W,2.1%,0.3%,B0C1BCTNW9,2.0%,0.1%,B07PJHLYRT,1.7%,0.1%,"B0C8LS2F33,B08SQ6HHSG,B09LVGHNYH,B0BL137H3D,B08SQ39PY5,B0CP1TNYTX,B0D4MHWQB6,B089XWCYN6,B07JHQ8TGZ,B0CY1X7XPY","Shirt, hawaiian"
amazon essentials mens shirts,亚马逊 Essentials 男士衬衫,,0.39%,自然搜索词,"7,675 ",1.0,B0CMPX7CZ5,"39,480","46,067 ","4,265 ",9.26%,"994,444 ","19,092 ",97 ,0.0,"2,788 ",16.5,21 ,8.3%,0.7%,$2.98,$2.24 - $3.73,B07MY3Q8D5,3.5%,0.4%,B07JX84RN5,2.5%,0.3%,B07DRMT92L,2.4%,0.0%,"B07N4KF2BZ,B07MY3Q8D5,B09TPLYSGT,B07JX84RN5,B071WY2Q29,B06XWNVSJ4,B07HL2P22X,B096YS916V,B07JHQ8TJX,B07XVYGY4Z","Amazon, Amazon Essentials"
dress shirts,礼服衬衣,,0.36%,自然搜索词/HR推荐词/SP广告词,"7,080 ",9.0,B072QYBXYV/B0CTD4KBXQ/B072R1M44T/B0CTD4CZFD/B09J2LHQ5L/B0CZ3F26DY/B0CMPX7CZ5/B0CP2H2RKN/B0CTD5VB3Q,"118,817","15,446 ",965 ,6.25%,"440,747 ","6,587 ",22 ,69.0,"7,777 ",2.0,306 ,10.8%,0.0%,$1.24,$0.93 - $1.39,B00AJOUQI8,4.3%,0.0%,B08ZRX3WQX,4.3%,0.0%,B0012OJO8M,2.2%,0.0%,"B009ESZFEK,B00AJOUQI8,B009ESZFMC,B09JFQR4DC,B09JFZTWVJ,B0012OJO8M,B00BM48EJC,B00D1SQBSI,B06Y4FWGTJ,B0058YUDGE","Dress Shirt, Dress"
mens white button down shirt,男式白色纽扣衬衫,,0.35%,自然搜索词/SP广告词,"6,972 ",3.0,B0CP2H2RKN/B072R1M44T/B0CTD5VB3Q,"113,475","15,843 ",259 ,1.64%,"382,229 ","6,135 ",6 ,0.0,"5,667 ",2.8,41 ,12.5%,2.5%,$1.08,$0.81 - $1.35,B0CQ1KKKGJ,4.5%,0.8%,B09JFR5KZQ,4.1%,0.8%,B009ESZFFO,4.0%,0.9%,"B009ESZFFO,B09JFR5KZQ,B0CHFG1KHT,B0CQKD183P,B000PHL8DG,B09JFSQB2Z,B0CR3CQ8LB,B09N93W21G,B0C3D89DTG,B0C2ZD2G55","Button, White, Button Down, Shirt"
mens shirts short sleeve,男式衬衫短袖,,0.35%,自然搜索词,"6,957 ",4.0,B0CZ3F26DY/B0CRQHBWHR/B087X2996Y/B0CP2H2RKN,"95,147","20,971 ","4,143 ",19.76%,"470,409 ","10,333 ",95 ,0.0,"55,106 ",0.4,83 ,5.3%,0.9%,$1.15,$0.87 - $1.45,B07XLTPC5L,2.0%,0.3%,B0BV257YG8,1.7%,0.5%,B07JJJ6GR7,1.5%,0.2%,"B0BV27DL6Y,B07XLTPC5L,B07JJJ6GR7,B01GH5GSLG,B0CJTYZQQM,B0BV257YG8,B01MYH6PWW,B0C3D5HR1L,B079Z12CRG,B077XRHGWQ","Short, Sleeve, Short Sleeve"
white button up shirt men,白色纽扣衬衫男士,,0.35%,自然搜索词/SP广告词,"6,945 ",4.0,B0CTD5VB3Q/B072R1M44T/B0CTD4CZFD/B0CP2H2RKN,"100,958","15,929 ",189 ,1.19%,"450,542 ","7,208 ",5 ,0.0,"4,530 ",3.5,29 ,14.1%,2.9%,$1.38,$1.00 - $1.90,B0746CT87M,5.1%,0.5%,B09JFR5KZQ,4.5%,0.3%,B0CR36G755,4.4%,2.0%,"B09JFR5KZQ,B0CHFG1KHT,B0CR36G755,B0BKFH55NS,B009ESZFMC,B0CQ1KKKGJ,B0CM6VHG6M,B0C2ZGN8MW,B0746CT87M,B09N93W21G","Button, White, Button Up, Shirt"
black dress shirt for men,黑色男士礼服衬衫,,0.35%,自然搜索词/SP广告词,"6,902 ",3.0,B072QYBXYV/B09J2LHQ5L/B0CZ3F26DY,"43,802","33,501 ",472 ,1.41%,"1,004,921 ","13,625 ",11 ,0.0,"3,639 ",9.2,36 ,13.2%,1.7%,$1.70,$1.26 - $2.13,B00AJOU5W0,5.8%,0.7%,B09JFRWZYC,4.3%,1.0%,B08ZRX3WQX,3.1%,0.0%,"B0CHFGSRLG,B09JFZTWVJ,B00AJOU5W0,B09JFW6X9B,B0CHFGGLRT,B07F2NY4NC,B0CQX2NJRW,B0CPM6XNJN,B0CR3RGPQ5,B0CQX35826","Shirt, Dress Shirt, Black, Dress"
mens white shirt,男式白衬衫,,0.35%,自然搜索词/HR推荐词/SP广告词,"6,894 ",2.0,B0CTD5VB3Q/B072R1M44T,"94,974","18,069 ","2,236 ",12.38%,"530,510 ","7,631 ",51 ,0.0,"23,473 ",0.8,53 ,10.5%,3.2%,$0.94,$0.70 - $1.19,B08638FL5G,5.1%,0.9%,B00NOY2P66,2.9%,0.9%,B0C3D5HR1L,2.5%,1.3%,"B06WGXDZSJ,B0CLKZK2KN,B01GH5GSLG,B075JXQGG7,B0C3D89DTG,B000HOBYDG,B00NOY2P66,B0CMGZYW66,B0CM32B8HH,B07M8NXHYK","Shirt, White"
mens linen shirt,男式亚麻衬衫,,0.35%,自然搜索词,"6,854 ",4.0,B0CMPX7CZ5/B0CWNT4CGV/B0CTD5VB3Q/B087X2996Y,"15,015","90,623 ","13,838 ",15.28%,"2,577,138 ","37,242 ",315 ,17.0,"5,713 ",15.9,236 ,8.9%,1.2%,$1.04,$0.79 - $1.30,B0C4FN3QG7,3.5%,0.7%,B0BVB6LQPT,2.8%,0.5%,B0C2H34MHG,2.7%,0.1%,"B0BV257YG8,B08NSS8W59,B0CWH3G4KM,B083K7W772,B0CJTXTHLR,B0D5B7S1N1,B0CP1N34D6,B0CMH4P6NP,B0BKG2P6P6,B08SQ6HHSG","Linen, Shirt"
men shirt,男式衬衫,,0.34%,自然搜索词/SP广告词,"6,770 ",6.0,B0CTD4KBXQ/B072R1M44T/B0CRQJDHBB/B087X2996Y/B0CZ3F26DY/B0CTD5VB3Q,"58,291","32,556 ","2,786 ",8.56%,"852,081 ","12,634 ",64 ,1.0,"64,408 ",0.5,182 ,6.4%,0.4%,$1.33,$1.00 - $1.65,B0BV241H3F,2.8%,0.2%,B077ZJXCTS,2.0%,0.3%,B0BZDLXKTS,1.6%,0.0%,"B0CPHWTFVP,B0D9NZBSN7,B0D9WLTH6Z,B0DBLK1KPT,B077ZJXCTS,B0DBL79DHL,B0787P86ZZ,B01GH5GSLG,B0BV241H3F,B0CKM5ZQ35",Shirt
men short sleeve button down,男士短袖纽扣,,0.29%,自然搜索词,"5,804 ",6.0,B0CRQHX59M/B0CTD4CZFD/B0CZ3F26DY/B0CP2H2RKN/B087X2996Y/B0CTD5VB3Q,"212,034","9,303 ",277 ,2.99%,"253,551 ","3,592 ",7 ,0.0,"10,585 ",0.9,47 ,7.6%,1.0%,$1.14,$1.00 - $1.27,B0CWVFC899,3.2%,0.3%,B07763WWP7,2.4%,0.3%,B0BVB6LQPT,2.1%,0.3%,"B0BVB6LQPT,B0BVJ69CZ3,B0CQLNXRQM,B07JX84RQ7,B0CJTZLCQ2,B0CR3RGPQ5,B07JHY5F25,B079ZKQ26W,B09H35F95W,B08P67DW1V","Button, Short, Sleeve, Short Sleeve"
mens linen shirts short sleeve,男士亚麻衬衫短袖,,0.29%,自然搜索词,"5,662 ",2.0,B0CMPX7CZ5/B087X2996Y,"116,726","19,681 ",604 ,3.08%,"447,853 ","9,745 ",14 ,9.0,"4,735 ",4.2,50 ,12.8%,1.6%,$1.12,$0.85 - $1.40,B0BVB6LQPT,4.8%,0.7%,B0BV27DL6Y,4.8%,0.3%,B0BVB7THLY,3.3%,0.7%,"B0BVB6LQPT,B0C3D5HR1L,B0BQJW8RKJ,B0CQ1KKKGJ,B0CJTXKT89,B093RZQLVX,B083K8DD4K,B0CWH2LF49,B083P4C5C4,B0CZP6FC3M","Linen, Short, Sleeve, Short Sleeve"
mens button up shirts long sleeve,男士纽扣衬衫长袖,,0.27%,自然搜索词/HR推荐词/SP广告词,"5,267 ",2.0,B072QYBXYV/B072R1M44T,"89,235","18,406 ","1,680 ",9.13%,"434,758 ","8,651 ",39 ,4.0,"4,185 ",4.4,104 ,8.8%,0.6%,$0.85,$0.61 - $1.20,B0775YF8BH,3.2%,0.6%,B0B28SWXWP,3.2%,0.0%,B0B28S8H4D,2.5%,0.0%,"B0B28SWXWP,B07761KSPN,B0C49Y4YXF,B09JFW6X9B,B08GQ7QQS4,B06XWQ82LM,B000PHG4N0,B07BN1TY69,B079ZLND5J,B0D1V4BGWG","Button, Sleeve, Long, Long Sleeve"
white dress shirt,白衬衣,,0.26%,自然搜索词/HR推荐词/SP广告词,"5,076 ",4.0,B072R1M44T/B0CTD5VB3Q/B0CTD4CZFD/B0CP2H2RKN,"86,949","20,338 ",199 ,0.98%,"468,783 ","7,842 ",5 ,0.0,"4,496 ",4.5,139 ,22.2%,3.2%,$2.43,$1.82 - $3.03,B009ESZFFO,11.4%,2.1%,B08ZRX3WQX,6.1%,0.0%,B09JFR5KZQ,4.8%,1.2%,"B009ESZFFO,B009ESZFSQ,B09JFR5KZQ,B0058YUDGE,B09JFV7HHY,B01DWM73UM,B0CQKFF759,B00BM48FP0,B0CHFG1KHT,B0012ODZIW","Shirt, Dress Shirt, White, Dress"
white short sleeve button down men,白色短袖纽扣衫男士,Y,0.26%,自然搜索词/AC推荐词/SP广告词,"5,061 ",2.0,B0CP2H2RKN/B0CTD5VB3Q,"136,595","13,734 ",237 ,1.73%,"339,589 ","5,623 ",6 ,0.0,"4,043 ",3.4,56 ,18.3%,6.0%,,-,B0C3D5HR1L,7.2%,3.3%,B0CR3CQ8LB,6.9%,1.4%,B0CP2H2RKN,4.2%,1.3%,"B0CP2H2RKN,B0CR3CQ8LB,B0C3D5HR1L,B000PHK0WG,B0CSD62HF4,B09Q53NNX5,B004OWMY0Y,B09N93W21G,B0CTD5VB3Q,B0CLL12CTC","Short, Button, Short Sleeve, White, Sleeve"
